ID,Name,Sex,Height,Weight,Regions
101398,Andr Robin,男,NAN,NAN,{'法国'}
101426,Dallas Robinson,男,193.0,104.0,{'美国'}
101447,Jennifer Robinson (-Dennison),女,170.0,55.0,{'加拿大'}
101461,Paul Robinson,男,175.0,65.0,{'英国'}
101465,"Rosslyn Legier ""Ross"" Robinson",男,NAN,NAN,{'加拿大'}
101477,"Darrell Donald ""Don"" Robison",男,NAN,NAN,{'美国'}
101489,Petra Robnik,女,179.0,78.0,{'斯洛文尼亚'}
101516,Giorgio Rocca,男,182.0,93.0,{'意大利'}
101525,Alfred Roch,男,NAN,NAN,{'瑞士'}
101544,Conrad Rochat,男,NAN,NAN,{'瑞士'}
101545,Laurence Rochat,女,176.0,61.0,{'瑞士'}
101546,Rachel Rochat,女,180.0,68.0,{'瑞士'}
101560,Roland Roche,男,NAN,NAN,{'法国'}
101569,Joannie Rochette,女,160.0,53.0,{'加拿大'}
101570,Vasily Vasilyevich Rochev,男,184.0,76.0,{'俄罗斯'}
101571,Vasily Pavlovich Rochev,男,178.0,66.0,{'俄罗斯'}
101572,Nina Petrovna Rocheva (Selyunina-),女,170.0,61.0,{'俄罗斯'}
101573,Olga Vladimirovna Rocheva (Moskalenko-),女,178.0,65.0,{'俄罗斯'}
101575,Stphane Rochon,男,174.0,73.0,{'加拿大'}
101584,"Robert Spencer ""Bob"" Rock, Jr.",男,178.0,77.0,{'美国'}
101589,Martha Rockwell,女,167.0,54.0,{'美国'}
101601,Sally Rodd,女,NAN,NAN,{'澳大利亚'}
101607,Roberts Rode,男,182.0,83.0,{'拉脱维亚'}
101609,Cristiano Rodeghiero,男,NAN,NAN,{'意大利'}
101610,Rizzieri Rodeghiero,男,NAN,NAN,{'意大利'}
101614,"Richard Peter ""Dick"" Rodenhiser",男,173.0,70.0,{'美国'}
101615,Enno Rder,男,175.0,66.0,{'德国'}
101637,Evelina Rodigari,女,166.0,54.0,{'意大利'}
101638,Nicola Rodigari,男,171.0,71.0,{'意大利'}
101639,Alexander Rdiger,男,183.0,95.0,{'德国'}
101643,Olena Rodina,女,163.0,60.0,{'乌克兰'}
101648,Aleksandra Vasilyevna Rodionova,女,172.0,66.0,{'俄罗斯'}
101651,Inga Sergeyevna Rodionova,女,158.0,45.0,{'阿塞拜疆'}
101652,Yuliya Sergeyevna Rodionova,女,176.0,59.0,{'哈萨克斯坦'}
101654,Anna Christina Rodling,女,174.0,68.0,{'瑞典'}
101656,Craig R. Rodman,男,183.0,82.0,{'美国'}
101657,David Rodman,男,185.0,83.0,{'斯洛文尼亚'}
101658,Marcel Rodman,男,186.0,85.0,{'斯洛文尼亚'}
101661,"Irina Konstantinovna Rodnina (-Zaytseva, -Minkovskaya)",女,152.0,41.0,{'俄罗斯'}
